Floy tag ID,spr22,harv22,fall22,spr23,harv23,tag type ,recovery method,comment
7288,0,0,0,1,2,R,creel,
7385,1,0,0,0,2,R,creel,
7482,1,0,0,0,2,S,creel,
7500,0,0,0,1,2,S,creel,
7511,0,0,0,1,2,S,creel,
7515,0,0,0,1,2,S,creel,
7631,0,0,0,1,2,S,creel,
7043,1,2,0,0,0,R,phone,
7052,1,0,0,0,2,R,phone,harvest overlapped with spring tagging period (late May 2023)
7277,0,0,0,1,2,R,phone,
7328,0,0,0,1,2,R,phone,
7334,0,0,0,1,2,R,phone,
7381,1,2,0,0,0,R,phone,
7403,0,0,1,0,2,R,phone,
7434,0,0,0,1,2,R,phone,
7532,0,0,0,1,2,S,phone,
7568,1,0,0,0,2,S,phone,
7044,1,0,0,1,0,R,trap,
7314,0,0,0,1,0,R,trap,recap 1 week after tagging
7372,1,0,0,1,0,R,trap,
7374,1,0,0,1,0,R,trap,
7376,1,0,0,1,0,R,trap,
7421,0,0,0,1,0,R,trap,recap 2 weeks after tagging
7428,0,0,0,1,0,R,trap,recap 1 week after tagging
7465,1,0,0,1,0,S,trap,
7493,0,0,0,1,0,S,trap,recap 1 week after tagging
7510,0,0,0,1,0,S,trap,recap 1 week after tagging
7570,1,0,0,0,0,S,trap,recap 1 day after tagging 
7595,0,0,1,1,0,S,trap,
7034,1,0,0,0,0,R,not recovered,
7036,1,0,0,0,0,R,not recovered,
7037,1,0,0,0,0,R,not recovered,
7038,1,0,0,0,0,R,not recovered,
7040,1,0,0,0,0,R,not recovered,
7041,1,0,0,0,0,R,not recovered,
7042,1,0,0,0,0,R,not recovered,
7045,1,0,0,0,0,R,not recovered,
7046,1,0,0,0,0,R,not recovered,
7047,1,0,0,0,0,R,not recovered,
7048,1,0,0,0,0,R,not recovered,
7049,1,0,0,0,0,R,not recovered,
7050,1,0,0,0,0,R,not recovered,
7051,1,0,0,0,0,R,not recovered,
7053,1,0,0,0,0,R,not recovered,
7055,1,0,0,0,0,R,not recovered,
7194,1,0,0,0,0,S,not recovered,
7195,1,0,0,0,0,S,not recovered,
7196,1,0,0,0,0,S,not recovered,
7197,1,0,0,0,0,S,not recovered,
7199,1,0,0,0,0,S,not recovered,
7200,1,0,0,0,0,S,not recovered,
7201,1,0,0,0,0,S,not recovered,
7202,1,0,0,0,0,S,not recovered,
7203,1,0,0,0,0,S,not recovered,
7205,1,0,0,0,0,S,not recovered,
7206,1,0,0,0,0,S,not recovered,
7262,0,0,0,1,0,R,not recovered,
7263,0,0,0,1,0,R,not recovered,
7265,0,0,0,1,0,R,not recovered,
7266,0,0,0,1,0,R,not recovered,
7267,0,0,0,1,0,R,not recovered,
7269,0,0,0,1,0,R,not recovered,
7271,0,0,0,1,0,R,not recovered,
7272,0,0,0,1,0,R,not recovered,
7273,0,0,0,1,0,R,not recovered,
7275,0,0,0,1,0,R,not recovered,
7276,0,0,0,1,0,R,not recovered,
7278,0,0,0,1,0,R,not recovered,
7279,0,0,0,1,0,R,not recovered,
7280,0,0,0,1,0,R,not recovered,
7281,0,0,0,1,0,R,not recovered,
7282,0,0,0,1,0,R,not recovered,
7283,0,0,0,1,0,R,not recovered,
7284,0,0,0,1,0,R,not recovered,
7285,0,0,0,1,0,R,not recovered,
7286,0,0,0,1,0,R,not recovered,
